id,URL,Created Date,Likes,Comments,Shares,Description,Download Link,Group Name,
475100886335230_822928374885811,https://www.facebook.com/groups/475100886335230/permalink/822928374885811/,4/10/2020 2:24:34 PM,4,3,0,,https://scontent-dfw5-2.xx.fbcdn.net/v/t1.0-9/93302014_2998291056883776_7085465955471458304_n.jpg?_nc_cat=104&_nc_sid=ca434c&_nc_ohc=3vBbfs0VDrwAX-8xefc&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent-dfw5-2.xx&oh=9eb582576ca522f2de6b6b1ef9caa064&oe=5EC478B7,#Walkaway Blue States,
475100886335230_824803518031630,https://www.facebook.com/groups/475100886335230/permalink/824803518031630/,4/13/2020 7:08:44 AM,2,0,0,,https://scontent-dfw5-1.xx.fbcdn.net/v/t1.0-9/93207471_3004397972939751_4140775126805250048_n.jpg?_nc_cat=103&_nc_sid=ca434c&_nc_ohc=4GoQ1bunrMoAX93IuTK&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent-dfw5-1.xx&oh=0553d255d2d27bfb456158d0a1c77db4&oe=5EC61E3F,#Walkaway Blue States,
475100886335230_823411774837471,https://www.facebook.com/groups/475100886335230/permalink/823411774837471/,4/11/2020 8:52:55 AM,0,0,0,,https://scontent-dfw5-2.xx.fbcdn.net/v/t1.0-9/92873775_2999923596720522_661904260459397120_n.jpg?_nc_cat=107&_nc_sid=ca434c&_nc_ohc=u_AublUqR-cAX8SNvt9&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent-dfw5-2.xx&oh=930754ecac926b2b82835e470d5d3264&oe=5EC61B78,#Walkaway Blue States,
475100886335230_823407781504537,https://www.facebook.com/groups/475100886335230/permalink/823407781504537/,4/11/2020 8:45:11 AM,4,0,0,,https://scontent-dfw5-1.xx.fbcdn.net/v/t1.0-9/92867744_2999909430055272_4355122629422612480_n.jpg?_nc_cat=105&_nc_sid=ca434c&_nc_ohc=4jY_ZTnyglgAX_dffxY&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent-dfw5-1.xx&oh=5e42b61e6c667e18c0d33857aba249e6&oe=5EC6776F,#Walkaway Blue States,
475100886335230_823347648177217,https://www.facebook.com/groups/475100886335230/permalink/823347648177217/,4/11/2020 6:53:55 AM,2,0,0,,https://scontent-dfw5-1.xx.fbcdn.net/v/t1.0-9/93035260_2999714500074765_7346942490710114304_n.jpg?_nc_cat=105&_nc_sid=ca434c&_nc_ohc=CpWUVEOLaCEAX_DBXaO&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent-dfw5-1.xx&oh=35ddaca2eeed0ecae574f55e06c5f684&oe=5EC5B0F9,#Walkaway Blue States,
475100886335230_822192158292766,https://www.facebook.com/groups/475100886335230/permalink/822192158292766/,4/9/2020 12:48:45 PM,1,0,0,,https://scontent-dfw5-1.xx.fbcdn.net/v/t1.0-9/92445982_2995817360464479_1711648216686002176_n.jpg?_nc_cat=105&_nc_sid=ca434c&_nc_ohc=6XFsCRLhB9wAX8mwd4-&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent-dfw5-1.xx&oh=57c0836719985985fc1452734341bcc0&oe=5EC51D2D,#Walkaway Blue States,
475100886335230_820986545079994,https://www.facebook.com/groups/475100886335230/permalink/820986545079994/,4/7/2020 6:03:09 PM,1,0,0,,https://scontent-dfw5-2.xx.fbcdn.net/v/t1.0-9/91755698_2991863890859826_6527771431407714304_n.jpg?_nc_cat=100&_nc_sid=ca434c&_nc_ohc=PjtEQsAWTU8AX_RrN5T&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent-dfw5-2.xx&oh=d7318c5a95b807ce031c833630a56d6b&oe=5EC730E6,#Walkaway Blue States,
475100886335230_820966655081983,https://www.facebook.com/groups/475100886335230/permalink/820966655081983/,4/7/2020 5:29:14 PM,1,0,0,,https://scontent-dfw5-2.xx.fbcdn.net/v/t1.0-9/92389044_2991814057531476_1136368034928132096_n.jpg?_nc_cat=108&_nc_sid=ca434c&_nc_ohc=ZiCj8Oznfu4AX8HhFDb&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent-dfw5-2.xx&oh=d81e70f79b32c3dcabccf196814eb934&oe=5EC75E2D,#Walkaway Blue States,
475100886335230_820962698415712,https://www.facebook.com/groups/475100886335230/permalink/820962698415712/,4/7/2020 5:23:39 PM,3,0,0,,https://scontent-dfw5-2.xx.fbcdn.net/v/t1.0-9/92323200_2991805564198992_956512882089000960_n.jpg?_nc_cat=100&_nc_sid=ca434c&_nc_ohc=eWkgcMPlrqMAX_aCXcx&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent-dfw5-2.xx&oh=93b9efd606bdecd40d03a473ae217110&oe=5EC5364A,#Walkaway Blue States,
475100886335230_820948915083757,https://www.facebook.com/groups/475100886335230/permalink/820948915083757/,4/7/2020 4:53:05 PM,0,0,0,,https://scontent-dfw5-2.xx.fbcdn.net/v/t1.0-9/91581729_2991761830870032_7954315746140487680_n.jpg?_nc_cat=106&_nc_sid=ca434c&_nc_ohc=STTIQsdbaW8AX9XNByG&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent-dfw5-2.xx&oh=8624f5efe35f096cc6095b7a8bb3ffec&oe=5EC66003,#Walkaway Blue States,
