id,URL,Created Date,Likes,Comments,Shares,Description,Download Link,Group Name,
475100886335230_825800714598577,https://www.facebook.com/groups/475100886335230/permalink/825800714598577/,4/14/2020 2:09:29 PM,2,1,0,,https://video-dfw5-2.xx.fbcdn.net/v/t39.24130-2/10000000_105681417679187_4216451315627297767_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=SSRlRgY0G9YAX8RXIma&_nc_ht=video-dfw5-2.xx&oh=d40d44955323f60b2a57142227b1ffb8&oe=5EC5155F,#Walkaway Blue States,
475100886335230_802433440268638,https://www.facebook.com/groups/475100886335230/permalink/802433440268638/,3/12/2020 3:44:30 PM,1,0,0,I know what's going on with poor Joe!,https://video-dfw5-2.xx.fbcdn.net/v/t39.24130-2/87825712_1055926708115725_3484333521396428858_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=D_VQCLqGsbcAX9AFCyM&_nc_ht=video-dfw5-2.xx&oh=7e678e6ca20c29d3b29c13ebefba4c6a&oe=5EC66470,#Walkaway Blue States,
475100886335230_801113553733960,https://www.facebook.com/groups/475100886335230/permalink/801113553733960/,3/10/2020 6:59:13 PM,2,0,0,JUST IN CASE YOU MISSED IT!! Last week I had the pleasure of interviewing a Black Conservative inspiration and prayer warrior for Donald Trump.  The Left predictably went on the attack. Watch "DONALD TRUMP: THE WORST RACIST EVER!"  archived @ www.RangeBroadcasting.com/Sonja/,https://video-dfw5-1.xx.fbcdn.net/v/t39.24130-2/87515737_493033501578223_8776415499329493501_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=qvaH_poPS-wAX9gkZr4&_nc_ht=video-dfw5-1.xx&oh=9877d3875976c29d4ed89fe5d62a7c47&oe=5EC5193C,#Walkaway Blue States,
475100886335230_795877010924281,https://www.facebook.com/groups/475100886335230/permalink/795877010924281/,3/3/2020 11:44:54 AM,0,0,0,,https://video-dfw5-1.xx.fbcdn.net/v/t39.24130-2/88187527_632657480830064_7022723988886830715_n.mp4?_nc_cat=105&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=GLIWVY3i4gUAX_P7U1-&_nc_ht=video-dfw5-1.xx&oh=7f54049033fa673cbd0b5baee75c602a&oe=5EC826F0,#Walkaway Blue States,
475100886335230_747180039127312,https://www.facebook.com/groups/475100886335230/permalink/747180039127312/,12/30/2019 7:58:14 PM,3,3,0,Warren County  Virginia. 12/2019,https://video-dfw5-2.xx.fbcdn.net/v/t39.24130-2/10000000_218001319426779_9181177181147814155_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_ohc=JTlG-dVtznEAX9aGoHb&_nc_ht=video-dfw5-2.xx&oh=778581be1f6266f48b620849c8b6f141&oe=5EC73EA3,#Walkaway Blue States,
