id,URL,Created Date,Likes,Comments,Shares,Description,Link,Group Name,
475100886335230_529509307561054,https://www.facebook.com/groups/475100886335230/permalink/529509307561054/,2/7/2019 8:44:08 PM,0,1,0,The Green Dream will DESTROY more Greenbacks and jobs than it will create by taking away the jobs of hard-working Americans - No  you may NOT keep your job if your like your job  and by printing money incessantly like Venezuela!  Revolutionary Castro Communist (this is way beyond Socialism) AOC's plan "would aim to make air travel obsolete  upgrade or replace every building in America to ensure energy efficiency and give economic security even to those 'unwilling' to work.  The plan  which calls for a massive package of big-government proposals including health care for all  quickly picked up the backing of major 2020 Democratic presidential hopefuls including Revolutionary Castro Communists Sens. Kamala Harris  D-Calif.  Elizabeth Warren  D-Mass.  and Cory Booker  D-N.J. -- who all co-sponsored the resolution.  The resolution says 'a new national social  industrial and economic mobilization on a scale not seen since World War II and the New Deal' is an opportunity to tackle systemic injustices toward minority groups  create millions of high-wage jobs and 'provide unprecedented levels of prosperity and economic security for all people of the United States.'  Its proposals include 'net-zero greenhouse gas emissions through a fair and just transition for all communities and workers;' job creation; infrastructure investment; guarantees of clean water  healthy food and sustainable environment; and a curiously undefined 'access to nature.'  Beyond those broad proposals  the plan and accompanying documents from Ocasio-Cortez include a range of far-fetched goals -- and drew swift scorn from Republicans and other critics. The Republican National Committee dubbed it a 'socialist wish list' that would kill at least 1 million jobs and disrupt global trade -- while costing trillions.  The resolution  for instance  includes a proposal to 'upgrade all existing buildings' in the country in order to achieve energy efficiency  safety  affordability  durability and comfort.  The resolution also backs the concept of high-speed rail as a proposal to reduce carbon emissions -- but the FAQ goes so far as to urge that development 'at a scale where AIR TRAVEL STOPS BECOMING NECESSARY.'  It also promises economic security for all who are unable or UNWILLING [sic] TO WORK. What constitutes economic security is not clear  but the plan does call for programs including a federal job guarantee  universal health care and 'affordable  safe  and adequate housing.'  The FAQ also notes that it has set a goal of net-zero  rather than zero  emissions in 10 years 'because we aren’t sure that we’ll be able to get rid of FARTING COWS and airplanes that fast.'"  How will Congresswo/men from the former Great State of Hawai'i get to Washington?  How about from Puerto Rico?  As I mentioned above  this is way beyond Socialism; this attempts to impose Quasi-Communism  the final socio-economic stage that results from Godless Atheist Karl Marx's Dialectical Materialism which can only occur AFTER revolutionary class warfare - AOC wants to skip the bloody revolution - whereupon the State dissolves and everyone lives like hippies on an ungoverned Stateless commune in perfect harmony.  That's heaven; not earth.  The only shred of understanding of human nature exhibited by radical Democrats AOC and God-forsaken Senator Markey is that they do NOT propose the dissolution of the State; on the contrary  they not only keep the State but blow it up to to a size  scope  and purview that is unsupportable by the hundreds of billions of dollars of diminished revenues that the State will collect as it destroys a million or more jobs in the fossil fuel industry and other industries and sectors based and reliant upon fossil fuels  likely causing Atlas to Shrug; unless of course AOC and Markey make the same three catastrophic mistakes Venezuela did: print more money  borrow more money  and tax Americans up the wazoo.  It's Oppressive Communism without the nirvana and freedom of a stateless nation!  Americans will rebel just like we did when our forefathers were much less severely oppressed by King George III in pre-revolutionary America.  We will fight a second Civil War and I don't mind again predicting the winners!  It won't be the Godless Marxist Quasi-Communist Pro-Abortion 4th Wave Feminist Identitarian anti-Rule of Law Open Borders Globalist BIG Government Bankrupting Welfare Statists!  https://m.facebook.com/story.php?story_fbid=10213726470655534&id=1218612054,https://www.foxnews.com/politics/green-new-deal-ocasio-cortez-aims-to-make-air-travel-obsolete-aid-those-unwilling-to-work,#Walkaway Blue States,
475100886335230_529422817569703,https://www.facebook.com/groups/475100886335230/permalink/529422817569703/,2/7/2019 4:14:34 PM,4,0,0,Just bought WINDOW CLING THAT HAS OUR NATIONAL MOTTO..."IN GOD WE TRUST".   Leading into the election we want America to know that our faith and God is integral to our country as found in the Constitution.  ,http://www.millionwindows.com/afbl,#Walkaway Blue States,
475100886335230_529374454241206,https://www.facebook.com/groups/475100886335230/permalink/529374454241206/,2/7/2019 1:56:15 PM,0,0,0,This is MAJOR Are you going to OK for a week or 2? Will you have enough food and water for your family? What if you lose your heat? ttps://www.yakimaherald.com/news/local/weekend-predictions-uncertain-but-uw-professor-sees-potential-for-a/article_ad1146ec-2a5d-11e9-bb7f-4bb1dc6d426c.html?utm_medium=social&utm_source=facebook&utm_campaign=user-share&fbclid=IwAR1jNv5ZBrgBVz6ER-X8d-0Yb7yktxjdyDP4EEWEWS93Gjb3AWcX4hyhpHE,http://www.yakimaherald.com/news/local/weekend-predictions-uncertain-but-uw-professor-sees-potential-for-a/article_ad1146ec-2a5d-11e9-bb7f-4bb1dc6d426c.html?utm_medium=social&utm_source=facebook&utm_campaign=user-share&fbclid=IwAR1jNv5ZBrgBVz6ER-X8d-0Yb7yktxjdyDP4EEWEWS93Gjb3AWcX4hyhpHE,#Walkaway Blue States,
475100886335230_526243311220987,https://www.facebook.com/groups/475100886335230/permalink/526243311220987/,2/2/2019 8:27:20 AM,5,1,0,,https://www.wibc.com/blogs/chicks-right/himtoo-senator-cory-booker-accused-sexual-assault-gay-man,#Walkaway Blue States,
475100886335230_528625777649407,https://www.facebook.com/groups/475100886335230/permalink/528625777649407/,2/6/2019 7:40:59 AM,4,0,0,Waking up to this was good.  ,https://www.breitbart.com/politics/2019/02/05/cbs-poll-72-percent-approve-trump-immigration-stance/,#Walkaway Blue States,
475100886335230_528029784375673,https://www.facebook.com/groups/475100886335230/permalink/528029784375673/,2/5/2019 7:36:23 AM,2,2,0,According to the Dim Dems this doesn't happen. ,http://www.kxxv.com/story/39905031/21-men-arrested-in-undercover-child-sex-sting-in-ga?fbclid=IwAR12f9bRNYaCmfiTfaGCt3jYuIo7Tl9qxE8poVtvRAEgN-pYiKIhx02_udA,#Walkaway Blue States,
475100886335230_528028924375759,https://www.facebook.com/groups/475100886335230/permalink/528028924375759/,2/5/2019 7:34:32 AM,0,0,0,ICYMI Love Jim Jordan More great news as well. ,https://www.youtube.com/watch?v=8BsvSkh6geE&pbjreload=10,#Walkaway Blue States,
475100886335230_527452184433433,https://www.facebook.com/groups/475100886335230/permalink/527452184433433/,2/4/2019 7:46:27 AM,6,0,0,According to the MSM RINOs And delusional Dems  Trump put Troops in Syria  BAD TRUMP  Trump announced ISIS is pretty much defeated LYING TRUMP  Trump announces (orderly) withdrawal of troops Stupid TRUMP   Here is what the MSM LYING DEMS & IGNORANT RINO's Don't tell you. Want the truth. You have to do your own research  Here you go. ,https://www.airforcetimes.com/news/your-air-force/2019/01/15/airstrikes-against-isis-in-syria-up-in-recent-weeks/,#Walkaway Blue States,
475100886335230_527122321133086,https://www.facebook.com/groups/475100886335230/permalink/527122321133086/,2/3/2019 8:06:04 PM,2,1,0,SHUT THE BABY BUTCHERS DOWN  ,https://www.washingtontimes.com/news/2015/aug/19/planned-parenthood-kept-aborted-babies-alive-to-ha/,#Walkaway Blue States,
475100886335230_515969648915020,https://www.facebook.com/groups/475100886335230/permalink/515969648915020/,1/15/2019 1:59:31 AM,1,1,0,New World Order OBAMA CHIEF FORIEGN POLICY ADVISOR SAYS. "It is much easier to KILL a MILLION PEOPLE then to CONTROL a million people!"  Don't believe it? Listen to video below: ,https://m.youtube.com/watch?v=GO2U9jJoWsM&feature=youtu.be,#Walkaway Blue States,
